A,,,,,"   Indicators MAIN IDEAS 1) PROOF OF CONTINUED EXISTENCE, OR DEATH 2) DID THEY RAISE $$, WHAT FORM, AND HOW MUCH 3) COMMUNITY (e.g., jobs) OR ENVIRONMENTAL IMPACT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Name,Founder/Submitter,Industry,Year,Region,1-1) QUICK GLANCE AT COMPANY FOR PROOF OF EXISTENCE,From 2024 Data ,From 2024 Data ,From 2026 onwards,,  1-1) ONLINE PRESENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-2) IN-DEPTH RESEARCH FOR MORE PROOF (CHECK IF NEEDED),"   1-2) ADDITIONAL PROOF OF CONTINUED EXISTENCE, OR DEATH",,,,,,,,,,,,,,,2) EVIDENCE OF CAPITAL RAISES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accelerator,,,,3) Community or Environmental Impact,,,,,,,,,,,,,,,,,,,,
,,,,,,"Status as of 2024, Y=Alive, N=Dead, S=Maybe, A=Acquire",,Still Alive?,,Company Website (Google Search),,,,LinkedIn (Website),,,,,,,,,,,,,,,Online reviews,,,News articles,,,,,,Word of mouth,,,,,,,,Continued Membership in Industry Organizations (wiki),,,,Websites tracking failures,News stories,N,,,SEC Reg D filings (website here),,,,,,Website url,,,,Number of Funding Rounds,,,Total (disclosed) Funding Amount ($USD),,,,,,Latest Funding Year,,,,,Latest Funding Amount ($USD),,,,,,"Latest Funding Type (friends&family, seed, A-round, grant, etc)",,,,,Earliest Funding Year,,,,,Funding Type with most money raised,,,,,Year with most money raised,,,,,News about capital raise,,,,Word of mouth,,,,,Evidence of Expansion/Growth,,,,,,,Evidence of Global Expansion,,Evidence of environmental impact,,,,,,,,,,SCORED BY,DATE OF COMPLETION
FoodWare,Ignas Bolsakobas,"Agriculture, Water & Waste",2023,West,,N,N,Y,2024,https://foodware.vision ,Y,2024,Website updates,Y,https://linkedin.com/company/foodware ,Y,2024,Y,N,Ignas Bolsakobas,https://linkedin.com/in/ignasbolsakobas ,2024,N,LinkedIn,2024,N,N,N,Y,Crunchbase,2024,Y,2024,https://foodware.vision ,N,N,N,N,Y,Y,2024,N,N,Y,2024,Y,CleanTech Open,N,N,N,N,N,N,N,N,N,N,N,N,N,https://www.crunchbase.com/organization/korganotech ,N,N,N,Y,Y,N,490000,USD,2024,Grant,490000,N,2024,USD,2024,N,N,490000,USD,2024,N,N,N,Grant,USD,2024,0,N,2024,USD,2024,N,Grant,2024,USD,2024,N,2024,USD,2024,N,N,N,Y,https://www.crunchbase.com/organization/korganotech ,2024,AUD 490000,N,N,N,N,Y,2024,N,N,N,N,N,N,N,N,Y,2024,https://foodware.vision ,Y,2024,https://foodware.vision ,Y,2024,Y,https://foodware.vision ,Samarth,5/13/2026
Korganotech Inc,Tim Leong,Energy Efficiency / Chemicals & Advance Materials,2023,West,,N,2022,Y,2024,https://korganotech.com ,Y,2024,Website updates,Y,N,Y,2024,Y,N,Tim Leong,https://linkedin.com/in/timleong ,2024,N,LinkedIn,2024,N,N,N,N,,2024,Y,2024,https://korganotech.com ,N,N,N,N,Y,Y,2024,N,N,Y,2024,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2024,https://korganotech.com ,Y,2024,https://korganotech.com ,Y,2024,Y,https://korganotech.com ,Samarth,5/13/2026
HyVerde,Kimberly de Castro,"Energy Generation, Energy Distribution & Storage, Energy Efficiency, Green Buildings, Transportation.",2023,West,,Y,2023,Y,2023,https://www.hyverde.com/,,2023,CTO participation is the last thing mentioned,,https://www.linkedin.com/company/hyverde/,,,,,Founder shows this as sole current activity,https://www.linkedin.com/in/kimberly-de-castro-00a985b1/,,,,,,,,,,,,Article notes participation in LACI accelerator in 2025,https://laincubator.org/laci-welcomes-16-new-startups-to-incubation-cohort-10-spring-2025/,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/13/2026
DarmokTech,Deepak Upadhyaya,Distribution & Storage and Energy Efficiency,2023,West,,N,2023,N,2023,https://darmoktech.com/,,2023,"Copyright 2023, but latest new story was 2019",,None,,,,,,Unable to find the founder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/13/2026
RCAM Technologies,Jason Cotrell,"Energy Generation, Energy Distribution & Storage",2023,West,,Y,2026,Y,2026,https://sperra.com/,,2026,2026 news stories,,https://www.linkedin.com/company/sperra/,,2026,,,Sole current actiivty for this founder,https://www.linkedin.com/in/jason-cotrell/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/13/2026
"Benchmark Labs, Inc.",Carlos Gaitan,Information & communication,2023,West ,,Y,2026,Y,2026,https://www.benchmarklabs.com/,,2026,2026 news stories,,https://www.linkedin.com/company/benchmark-labs-inc/,,2026,,,Has a climate risk consultancy in addition to this job,https://www.linkedin.com/in/carlos-felipe-gaitan-ospina-3765808/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/13/2026
OmniFlow,Jun Zhu,"Agriculture, Water & Waste",2023,West ,,N,,N,2023,Dead website,,,,,,,,,,,Can't find any founders connected to this company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/13/2026
Climformatics Inc.,Subarna Bhattacharyya,"Energy Generation, Energy Distribution & Storage, Agriculture, Water & Waste",2023,West ,,Y,2026,Y,2026,https://climformatics.com/,,2026,"Copyright 2026, news stories from 2025",,https://www.linkedin.com/company/climformatics-inc/posts/?feedView=all,,2026,,,Sole current actiivty for this founder,https://www.linkedin.com/in/subarna-bhattacharyya/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/13/2026
Metavoxel,Benjamin Jenett,Green Buildings,2023,West ,,N,,N,2023,https://www.metavoxel.tech/,,,The entire website is one unmoving picture.,,https://www.linkedin.com/company/metavoxel-technologies/,,,,,Founder has another startup in addition to a fellowship,https://www.linkedin.com/in/benjamin-jenett/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/13/2026
Community Energy Labs,Tanya Barham,"Energy Efficiency, Green Buildings",2023,West ,,Y,2026,Y,2026,https://communityenergylabs.com/,,2026,"Copyright 2022, but 2026 news stories",,https://www.linkedin.com/company/community-energy-labs/,,2026,,,Sole current actiivty for this founder,https://www.linkedin.com/in/tanyabarham/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/13/2026
Perch Sensing Inc.,Dominic Gaiero,Information & communication,2023,West ,,Y,,S,2025,https://perchsensing.com/,,2025,Copyright 2025,Y,https://www.linkedin.com/company/perchsensing/,Y,2025,,,"This was the sole activity for the co-founder for six years, but from January 2026 he lists a stealth startup. The other co-founder lists this as part time while holding a full-time job at Cisco.",https://www.linkedin.com/in/dgaiero/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/13/2026
Ariya Energy,Arthur Kariya,Energy Distribution & Storage,2023,West ,,Y,,Y,2026,https://ariya-eng.com/,,2026,"Copyright 2026, with a ""for investors"" section as the only sign of life. Web URL matches what's in the CTO pitch deck although there was no web link in the exec summary - a little obtuse, but that's just my opinion. Borderline, but I'm callng this a living company for now.",,,,,,,"Founder lists this as an energy startup which he does not name, and separately lists that he is a consultant",https://www.linkedin.com/in/arthur-kariya-117b9192/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/13/2026
TECSI Solar Inc.,Samuel Truthseeker,"Energy Generation, Energy Distribution & Storage",2023,West ,,,,N,2023,https://tecsisolar.com/Services/,,,,,,,,,,This was a past activity for the founder,https://www.linkedin.com/in/samuel-truthseeker/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/13/2026
Hawk Spider Energy Corp.,Matt Higgins,Energy Distribution & Storage,2023,Rocky Mountain,,,,N,2023,Dead website,,,,,,,,,,This was a past activity for the founder,https://www.linkedin.com/in/mhiggins-nm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/14/2026
Maelstrom Water Technologies,Jamie Cox,"Agriculture, Water & Waste",2023,West ,,,,Y,2026,https://maelstromwater.com/advantage/,,,,,https://www.linkedin.com/company/maelstrom-water-technologies/,,2026,,,Sole current actiivty for this founder,https://www.linkedin.com/in/jamie-cox-b740ab76/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/14/2026
Active Surfaces,Shiv Bhakta,Energy Generation & Green Buildings,2023,Northeast ,,,,Y,2025,https://www.activesurfaces.xyz/,,2025,"Copyright 2025, 2025 news posting",,https://www.linkedin.com/company/activesurfaces/,,,,,Sole current actiivty for this founder,https://www.linkedin.com/in/shivambhakta/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/14/2026
Electromaim,Dylan Kassin,"Energy Generation, Energy Efficiency, Green Buildings",2023,Northeast ,,,,S,2026,https://www.electromaim.com/,,,"Not definitely dead, but not showing progress, no postings anywhere. Website is limited.",,https://www.linkedin.com/company/electromaim/,,,,,Founder has engaged in mutiple internships and a Fulbright during his tenure at the company,https://www.linkedin.com/in/dylan-kassin/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/14/2026
Shred Electric,Nick Planson,"Energy Generation, Energy Distribution & Storage",2023,Northeast ,,,,Y,2026,https://www.shredelectric.com/,,2026,"2026 new story, multiple stories for 2025 and prior years",,None,,,,,"Founder runs a boatyard building custom docks and such, in addition to having this founder role",https://www.linkedin.com/in/nickplanson/,,,,,,,,,,,,,https://www.youtube.com/watch?v=HG0bA7oOZzc,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/14/2026
SilisiumTech Inc.,Randy Eager,Energy Efficiency,2023,Northeast ,,,,N,2026,Dead website,,,,,Dead link,,,,,,Can't find,,,,,,,,,,,,,https://innovationspace.org/press-releases/innovation-space-launches-spring-accelerator-program-with-9-new-startups/,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/14/2026
Power 3D,Peter Scott,Energy Distribution & Storage,2023,Northeast ,,,,S,2025,"No website, but announced a grant 11 months ago on LinkedIn",,,,,https://www.linkedin.com/company/power-3d/,,2025,,,Founder lists this while having an enrrepreneur in residence role,https://www.linkedin.com/in/peternscott/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/14/2026
Rivieh,Mustafa Homsi,Green Buildings,2023,West,,,,S,2026,https://rivieh.com/,,2026,"No news, no clear way to buy the project, just a reference to an older NSF grant",,None,,,,,Founder list nothing on his website after 2015,https://www.linkedin.com/in/mustafahomsi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/14/2026
Tyfast,GJ la O’,"Chemicals & Advanced Materials, Energy Distribution & Storage",2023,West,,,,Y,2026,https://www.tyfast.energy/,,2026,Many news stories in 2026,,https://www.linkedin.com/company/tyfast/,,2026,,,"Founder list this as his only activity, noting it as full time",https://www.linkedin.com/in/gjlao/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/14/2026
Ohm Charging,Omar Zhan,"Energy Generation, Energy Efficiency, Green Buildings",2023,West ,,,,N,2023,Dead website,,,,,https://www.linkedin.com/company/ohm-charging/,,,,,,Can't find,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/14/2026
The Hopeware Center,Madeline Tyson,Information & Communication Tech,2023,West ,,Y,2021,N,2023,Can't find the URL,,,,,None,,,,,"Founder lists as sole current activity, but no other independent evidence exists for this being an existing thing.",https://www.linkedin.com/in/madeline-mady-tyson-phd-44a77715/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/14/2026
ExPost Technology,Weikang Li,Chemicals & Advanced Materials,2023,West ,,Y,2024,Y,2026,https://www.exposttechnology.com/,,2026,"Copyright 2026, 2024 news stories",,https://www.linkedin.com/company/exposttechnology/,,,,,Current full-time role,https://www.linkedin.com/in/weikang-li-61047294/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/14/2026
"ALGAL TECH, INC.",Armando A Leon,Agriculture Water & Waste,2023,West ,,,,S,2023,https://algal.tech/,,2023,"Copyright 2023, no other dates",,https://www.linkedin.com/company/algaltech/,,,,,"Sole current actiivty for one founder, while another lists this as a part time advisory role",https://www.linkedin.com/in/armando-leon-69853b7/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/14/2026
Sollow,Vahe Gulagian,Information & Communication Tech,2023,West ,,,,N,2023,Dead website,,,,,,,,,,,Can't find,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh,5/14/2026
Moon Five Technologies,Stephan Luna Ng,Information & Communication Tech,2023,West,,,,Y,2026,https://www.moonfive.tech/,Y,2025,Press release / news article,Y,https://www.linkedin.com/company/moon-five-technologies,Y,2025,Y,,Stephan Luna Ng,https://www.linkedin.com/in/stephanlunang/,,,,,,,N,N/A,N,,,Y,2025,https://www.prweb.com/releases/moon-five-technologies-secures-3-4m-grant-to-bring-accessible-ev-charging-to-renters-across-california-302543997.html,N,N/A,N/A,N,N,,N,N/A,,,N,,N,,,,N,N/A,N,N,,,,,,https://www.crunchbase.com/organization/moon-five-technologies,https://pitchbook.com/profiles/company/530841-07,,,,,,"N/A – $3.4M is a CEC government grant, not equity",USD,09/2025,Grant (CEC REACH 3.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,https://www.prweb.com/releases/moon-five-technologies-secures-3-4m-grant-to-bring-accessible-ev-charging-to-renters-across-california-302543997.html,09/2025,"$3.4M USD (California Energy Commission grant, not equity; +match funding from private investor)",Y,N,,,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
Brevian Energy,Rod Matthews,Energy Distribution & Storage,2023,West,,,,Y,2026,https://www.brevianenergy.com/,Y,2025,Blog post,Y,https://www.linkedin.com/company/brevian-energy-llc,Y,2025,Y,,Rod Matthews,https://www.linkedin.com/in/rodmatthews/,,,,,,,N,N/A,N,,,Y,2023,https://earth911.com/podcast/earth911-podcast-brevian-energys-rod-matthews-on-the-changing-economics-of-microgrids/,N,N/A,N/A,N,N,,N,N/A,,,Y,ACORE (American Council on Renewable Energy),Y,ACORE; Cleantech Open,,,N,N/A,N,N,,,,,,,https://pitchbook.com/profiles/company/546836-59,,,,,,N/A – no public equity raise found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,Y,The Rosie Network (Veteran/Military Entrepreneurship),2022,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
Molecule Systems,Adam Boucher,Chemicals & Advanced Materials,2023,West,,,,Y,2026,https://www.moleculesystems.com/,Y,2024,Press release / partnership announcement,Y,https://www.linkedin.com/company/molecule-systems,Y,2024,Y,,Adam Boucher,https://www.linkedin.com/in/adamfboucher/,,,,,,,N,N/A,N,,,Y,2024,https://www.accessnewswire.com/newsroom/en/computers-technology-and-internet/molecule-systems-unveils-revolutionary-vpp-and-ems-solutions-to-tr-896930,N,N/A,N/A,N,N,,N,N/A,,,,,,,,,N,N/A,N,N,,,,,,https://www.crunchbase.com/organization/molecule-systems,https://pitchbook.com/profiles/company/538859-80,,,,,,Not disclosed (Seed from LACI; amount not public),USD,,Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
Brigade Automation Corporation,Thomas Burns,Information & Communication Tech,2023,Midwest,,,,Y,2023,https://baggerbot.com (DOMAIN EXPIRED – redirects to HugeDomains as of 2025),N,2022,Press release (last: 02/2022),Y,https://www.linkedin.com/company/brigadeautomationcorporation,Unknown – LinkedIn login required,,Y,,Tom Burns,https://www.linkedin.com/in/tom-burns-4952314/,,,,,,,N,N/A,N,,,Y,2022,https://www.globenewswire.com/en/news-release/2022/02/08/2381314/0/en/Brigade-Automation-Corporation-is-Reinventing-the-Sandbag-Filling-Process-to-Expedite-Water-Flood-Protection-and-Humanitarian-Efforts-to-Communities.html,N,N/A,N/A,N,Y,2022,N,N/A,,,,,,,,,N,N/A,N,N,,"Equity (Reg CF – StartEngine); 6 SEC filings CIK 0001895107 (C, C/A, C-AR ×2, C-U, C-TR 2024-04-30)",,"$1,070,000","$101,319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,https://www.startengine.com/offering/baggerbot,06/2022,"$101,319 USD raised (Reg CF via StartEngine; max was $1.07M; campaign closed 06/29/2022)",Y,N,,,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
PwrOn,Darian Parrish,Energy Distribution & Storage,2023,West,,,,Y,2026,https://www.pwron.com/,Y,2025,Marketplace listings / platform updates,Y,https://www.linkedin.com/company/pwron,Y,2025,Y,,"Darian Parrish, Philip Keller",https://www.linkedin.com/in/darianparrish/,,,,,,,N,N/A,N,,,N,,,N,N/A,N/A,N,N,,N,N/A,,,,,,,,,N,N/A,N,N,,,,,,https://www.crunchbase.com/organization/pwron,,,,,,,N/A – no public equity raise found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
Build Smartr Robotics,Harv Sidhu,Green Buildings,2023,Northeast,,,,Y,2026,https://www.buildsmartr.com/,Y,2025,Product page / company profile updates,Y,https://ca.linkedin.com/company/buildsmartr,Y,2024,Y,,Harv Sidhu,https://www.linkedin.com/in/harvsidhu/ (CEO/Founder – confirmed from Canadian Manufacturing Q&A),,2024,https://twitter.com/buildsmartr,,,,N,N/A,N,,,Y,2024,https://builtworlds.com/videos/demo-drop-build-smartr-robotics/,N,N/A,N/A,N,N,,N,N/A,,,Y,Foresight Cleantech Accelerator Centre (Canada),Y,Foresight 50 2023 honouree,,,N,N/A,N,N,,,,,,https://www.crunchbase.com/organization/build-smartr,https://pitchbook.com/profiles/company/507415-51,,,,,,N/A – no public equity raise found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
FuelGems Inc.,Kirill Gichunts,Energy Efficiency,2023,South Central,,,,Y,2026,https://fuelgems.com/,Y,2025,Press release / investor update,Y,https://www.linkedin.com/company/fuelgems-inc,Y,2025,Y,,Kirill Gichunts,https://www.linkedin.com/in/kirillgichunts/,,,,,,,N,N/A,N,,,Y,2025,https://www.businesswire.com/news/home/20210325005690/en/Green-Transformative-Tech-Startup-FuelGems-Raises-%24900K,N,N/A,N/A,N,Y,2020,N,N/A,,,,,,,,,N,N/A,N,Y,2023,"Equity (Reg D, 2 filings 2023, CIK 1818804); also Reg CF (StartEngine 2020 + Republic 2024-2025)",,,,https://www.crunchbase.com/organization/fuelgems-inc,https://pitchbook.com/profiles/company/438740-20,,,,,,"~$900K (Reg CF via StartEngine/Wefunder, 2020)",USD,03/2021,Reg CF (crowdfunding),,,$1.06M (Republic Convertible Note III),USD,04/2025,Convertible Note – III (Reg CF via Republic),,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,https://republic.com/fuelgems,04/2025,$3.2M–$3.77M USD total (CB Insights 6 rounds; PitchBook $3.77M; confirmed: ~$900K StartEngine 2020 + $1.06M Republic 2025),Y,Y,Sputnik ATX,2021,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
NIU Planet,José A. Pere,Transportation,2023,International,,,,Y,2026,https://www.niuplanet.earth/,Y,2025,Platform/app updates,Y,https://www.linkedin.com/company/niuplanet,Y,2025,Y,,José A. Peré (CEO & Co-founder),https://www.linkedin.com/in/jos%C3%A9-a-per%C3%A9-972361213/,,,,Instagram,2023,https://www.instagram.com/niuplanet/,N,N/A,N,,,Y,2023,https://energy.media/podcasts/gamifying-environmental-action-with-niu-planet-jose-pere/,N,N/A,N/A,N,N,,N,N/A,,,,,,,,,N,N/A,N,N,,,,,,https://www.crunchbase.com/organization/niu-planet,,,,,,,Raising $300K pre-seed (unconfirmed close; as of 2023-2024 search data),USD,,Pre-seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
"Peteca, LLC",Jacques (Jay) Kaiser,Information & Communication Tech,2023,Southeast,,,,S,2023,N/A – no website found,N,,,N,,N,,,,,,,,,,,,N,N/A,N,,,N,,,N,N/A,N/A,N,N,,N,N/A,,,,,,,,"Minimal web presence. Cleantech Open 2023 listing: Delray Beach FL, carbonized sugarcane bagasse briquettes for home grilling. FL DoC entity 'Petaca LLC' (spelling variant) filed 2023, entity# L23000526835. No SEC filings, no website, no LinkedIn. Founder not identified.",N,N/A,N,N,,,,,,,,,,,,,N/A – no funding found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
Lemma,Not confirmed publicly,Information & Communication Tech,2023,International,,,,Y,2026,https://www.lemma.holdings/,Y,2024,Innovation page / technology description,N,,,,,,"Phil Wang (CEO, Co-founder); D. Scott Lucas PhD (Co-founder/Chief Scientist); Aaron David Mendonça; Ali Elnaamani; Tim Dumatrait",,,,,,,,N,N/A,N,,,N,,,N,N/A,N/A,N,N,,N,N/A,,,,,,,,"Nuclear fusion startup (quantum tunneling / IPMF reactor). 5 co-founders. Cleantech Open 2023 Southeast, Atlanta GA. No LinkedIn or equity funding found. Milestones: research reactor 2026, commercial production 2027. Likely self-funded or grant-based.",N,N/A,N,N,,,,,,,,,,,,,N/A – no funding found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,,,,,,,,N,,N,,,N,,,N,,N,,Zesang,
Vayve Mobility,Nilesh Bajaj; Saurabh Mehta; Vilas Deshpande; Ankita Jain,Transportation,2023,International,,,,Y,2026,https://evayve.com,Y,2025,Product pages (Maya EV),Y,https://www.linkedin.com/company/vayve-mobility,Y,2025,Y,,Nilesh Bajaj (CEO); Aditya Vaidya (CTO); Maulik Maheta; Pratik Patel,https://www.linkedin.com/in/nilesh-bajaj-7476b814,,,,,,,N,N/A,N,,,Y,2024,https://theev.report (various 2024); https://automotiveindia.com,N,N/A,N/A,N,N,,N,N/A,,,,,,,,"Indian private limited co (Pune). CIN U34300PN2021PTC199608. Revenue INR 35.9L FY2025. Founders: Nilesh Bajaj (CEO), Aditya Vaidya (CTO), Maulik Maheta, Pratik Patel. No SEC filings — Indian entity. Product: Eva solar-integrated EV debuted Bharat Mobility Expo 2025.",N,N/A,N,N,,,,,,https://www.crunchbase.com/organization/vayve-mobility-private-limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,,,,,,,,Y,,N,,,N,,,N,,N,,Zesang,
